Price,Type,Building Size,County,Provider,Bedrooms,Bathrooms
2200.0,3895.5760936537276,0.04174924032236751,1792.0,2200.0,0.0,0.0
3000.0,2616.2190812720846,0.9524375743162902,4781.123015873016,4021.4848484848485,-1.0,1.0
1195.0,2616.2190812720846,0.0,4781.123015873016,2052.5,-2.0,-1.0
8000.0,2525.6463595839523,1.0653983353151013,5273.75,5783.333333333333,1.0,1.0
5600.0,3895.5760936537276,1.7661514070550937,2999.114285714286,3600.0,1.0,1.0
1450.0,2616.2190812720846,-0.7757960100409566,2973.235294117647,2225.0,-1.0,-1.0
4000.0,6303.17845659164,0.0,3007.1052631578946,4021.4848484848485,0.0,0.0
1925.0,2616.2190812720846,-0.7389351301360814,4781.123015873016,1914.0,-2.0,-1.0
3500.0,2525.6463595839523,-0.34614876469811057,4781.123015873016,3500.0,0.0,1.0
1695.0,2616.2190812720846,-1.0813845950587924,4781.123015873016,2281.6666666666665,-2.0,-1.0
2475.0,2616.2190812720846,-0.16210860087197776,4781.123015873016,1914.0,-1.0,0.0
850.0,2616.2190812720846,-1.3894834192099352,4781.123015873016,4021.4848484848485,0.0,-1.0
2195.0,2525.6463595839523,0.16805390408244153,58030.0,2095.0,0.0,1.0
1200.0,2616.2190812720846,-1.0531113753468093,3007.1052631578946,1200.0,-2.0,-1.0
1600.0,2525.6463595839523,-0.8370986920332936,4781.123015873016,1600.0,-1.0,0.0
1100.0,2616.2190812720846,-0.13753468093539434,4781.123015873016,1100.0,-2.0,-1.0
11000.0,2525.6463595839523,2.733386180472982,3698.5238095238096,2936.0416666666665,1.0,3.0
1990.0,2616.2190812720846,-0.7695864711322498,4781.123015873016,4909.336244541485,-2.0,-1.0
3200.0,2525.6463595839523,1.3635883207821378,3007.1052631578946,4062.5,0.0,1.0
3280.0,2616.2190812720846,-0.5916237283657021,4781.123015873016,4909.336244541485,-1.0,0.0
1620.0,2616.2190812720846,-0.7266481701677895,1971.4285714285713,2128.5714285714284,-1.0,-1.0
2300.0,2525.6463595839523,0.3682124455013873,2025.0,2483.3333333333335,0.0,1.0
1500.0,2616.2190812720846,-0.9475492138987978,1971.4285714285713,2128.5714285714284,-2.0,-1.0
2850.0,2525.6463595839523,-0.11784912141630319,2973.235294117647,2850.0,0.0,1.0
2000.0,3895.5760936537276,0.20610384462940937,1825.0,2000.0,-1.0,-1.0
3700.0,2525.6463595839523,1.458184700753072,2490.4545454545455,3700.0,0.0,2.0
2900.0,2525.6463595839523,0.25525168450257657,2381.25,2800.0,0.0,0.0
2230.0,2525.6463595839523,-0.2725591227374818,1971.4285714285713,2128.5714285714284,0.0,1.0
2000.0,2525.6463595839523,-0.20253666270313117,2381.25,2100.0,-1.0,0.0
2500.0,3895.5760936537276,0.29330162504954443,2903.9444444444443,2500.0,0.0,0.0
1900.0,2616.2190812720846,-0.42343770643413925,2407.5,1900.0,-1.0,0.0
2500.0,3895.5760936537276,0.9450389747654908,2283.3333333333335,2500.0,1.0,0.0
7999.0,3895.5760936537276,1.4164354604307043,3154.640625,3116.5,2.0,2.0
2750.0,2616.2190812720846,-0.15352094067908562,2903.9444444444443,5916.666666666667,-1.0,0.0
1100.0,2525.6463595839523,-0.34865900383141746,4781.123015873016,1100.0,-2.0,-1.0
1000.0,3895.5760936537276,-0.7045844893645131,1997.608695652174,1000.0,-1.0,-1.0
2400.0,2525.6463595839523,-0.8396089311666006,2796.75,2400.0,-1.0,-1.0
2850.0,3895.5760936537276,1.32553838023517,2973.235294117647,2850.0,1.0,1.0
2200.0,3895.5760936537276,0.845686352226186,1933.4615384615386,2200.0,0.0,0.0
1650.0,2616.2190812720846,-0.6653454881754524,1971.4285714285713,2128.5714285714284,-1.0,0.0
1475.0,2616.2190812720846,-0.8837362927731535,2222.6666666666665,2152.0,-2.0,-1.0
10500.0,2616.2190812720846,1.3563218390804597,3154.640625,10500.0,-1.0,1.0
1975.0,2616.2190812720846,0.13502444180208745,1997.608695652174,2337.5,0.0,0.0
4300.0,2616.2190812720846,1.1120359360549612,2770.0,3125.0,0.0,1.0
2850.0,3895.5760936537276,1.3612101994979522,2407.5,2850.0,1.0,0.0
2500.0,3895.5760936537276,1.4507861012022725,2407.5,2752.0,1.0,2.0
1800.0,2525.6463595839523,-0.4873827454089046,3154.640625,1800.0,-1.0,1.0
2100.0,2525.6463595839523,1.1586735367948213,3007.1052631578946,2100.0,1.0,0.0
2250.0,3895.5760936537276,-0.14982164090368594,3154.640625,3825.0,0.0,0.0
1700.0,2616.2190812720846,-0.7143612101994978,2903.9444444444443,3116.5,-2.0,-1.0
2200.0,3895.5760936537276,1.5563482626502843,1997.608695652174,2508.6363636363635,1.0,1.0
1500.0,3895.5760936537276,0.0,1757.5,1500.0,-1.0,-1.0
13500.0,3895.5760936537276,4.186682520808561,3154.640625,5916.666666666667,3.0,4.0
2300.0,2616.2190812720846,-0.2700488836041749,3962.4117647058824,2300.0,0.0,0.0
1800.0,2616.2190812720846,0.10305192231470486,2407.5,1800.0,0.0,1.0
16.0,6303.17845659164,255.82639714625446,838.6666666666666,16.0,0.0,0.0
1695.0,3895.5760936537276,-0.20623596247853065,1997.608695652174,2172.5,0.0,0.0
2900.0,3895.5760936537276,-0.43202536662703117,2903.9444444444443,2690.0,-1.0,-1.0
2600.0,2616.2190812720846,-0.039371119038181926,4781.123015873016,3700.0,-1.0,0.0
999.0,6303.17845659164,0.0,2555.5,1856.3333333333333,0.0,0.0
2400.0,3895.5760936537276,0.0,2421.25,2995.6,1.0,0.0
