Price,Type,Parking Spaces,Land Size,Building Size,Architecture Style,Bedrooms,Bathrooms,Livingrooms,Basements,State
2750.0,House,0.0,526.09,188.04,Other,3.0,3.0,1.0,0.0,Florida
2225.0,Apartment,0.0,668.44,133.04,Contemporary,1.0,1.0,1.0,0.0,Massachusetts
2600.0,Townhouse,0.0,80.94,155.33,Colonial,3.0,2.0,1.0,0.0,Maryland
3200.0,Townhouse,0.0,161.87,143.07,Colonial,3.0,4.0,1.0,1.0,Virginia
675.0,Apartment,0.0,668.44,59.46,Other,1.0,1.0,1.0,0.0,Arkansas
1700.0,Other,0.0,2028.29,87.51,Contemporary,1.0,1.0,1.0,0.0,Massachusetts
1200.0,Apartment,0.0,668.44,668.9,Contemporary,2.0,1.0,1.0,1.0,Pennsylvania
3900.0,Townhouse,0.0,161.87,146.6,Federal,3.0,2.0,1.0,0.0,Oregon
1750.0,Apartment,0.0,485.62,92.9,New Traditional,2.0,1.0,1.0,0.0,Oregon
2695.0,Townhouse,1.0,668.44,167.97,Contemporary,2.0,3.0,1.0,0.0,Pennsylvania
2500.0,Townhouse,2.0,161.87,167.23,Colonial,3.0,4.0,1.0,1.0,Maryland
2400.0,Apartment,0.0,668.44,85.28,Contemporary,2.0,1.0,1.0,0.0,Oregon
2850.0,Townhouse,1.0,242.81,213.49,Craftsman,3.0,4.0,1.0,0.0,Virginia
3450.0,Townhouse,1.0,202.34,186.74,New Traditional,3.0,4.0,1.0,1.0,Virginia
1800.0,Apartment,2.0,668.44,122.63,Loft,2.0,2.0,1.0,0.0,Virginia
2800.0,Townhouse,1.0,202.34,194.54,Craftsman,4.0,4.0,1.0,1.0,Maryland
3200.0,Townhouse,0.0,161.87,147.16,New Traditional,3.0,5.0,1.0,1.0,Virginia
1150.0,Townhouse,0.0,121.41,55.74,Contemporary,1.0,1.0,1.0,1.0,Pennsylvania
2895.0,Apartment,0.0,668.44,112.04,Other,2.0,2.0,1.0,0.0,South Carolina
2500.0,Townhouse,0.0,202.34,114.46,Colonial,3.0,2.0,1.0,0.0,Virginia
2500.0,Apartment,0.0,80.94,72.46,Other,2.0,2.0,1.0,0.0,Oregon
1725.0,Apartment,0.0,971.25,56.67,Other,1.0,1.0,1.0,0.0,Pennsylvania
3800.0,House,1.0,323.75,273.41,Colonial,3.0,4.0,1.0,1.0,Virginia
2000.0,Townhouse,0.0,80.94,102.19,Other,2.0,2.0,1.0,0.0,Pennsylvania
4.0,Other,1.0,40.47,133.04,Other,3.0,2.0,1.0,0.0,Oregon
2300.0,House,0.0,1011.72,163.88,Rambler,4.0,3.0,1.0,0.0,Pennsylvania
2250.0,Apartment,0.0,40.47,69.68,Art Deco,1.0,2.0,1.0,0.0,Oregon
1650.0,Apartment,0.0,971.25,50.17,Other,1.0,1.0,1.0,0.0,Pennsylvania
1795.0,Apartment,0.0,971.25,87.79,Other,1.0,1.0,1.0,0.0,Pennsylvania
2995.0,House,0.0,668.44,180.42,Other,3.0,3.0,1.0,0.0,Texas
3800.0,Townhouse,0.0,668.44,182.46,Other,3.0,3.0,1.0,0.0,Texas
2750.0,Townhouse,0.0,668.44,125.42,Colonial,3.0,3.0,1.0,0.0,Maryland
4300.0,House,0.0,668.44,133.04,Other,3.0,3.0,1.0,0.0,Pennsylvania
2200.0,Apartment,0.0,668.44,63.36,Other,1.0,1.0,1.0,0.0,Oregon
1950.0,Apartment,0.0,668.44,86.21,Other,2.0,2.0,1.0,0.0,Texas
3200.0,Townhouse,2.0,161.87,155.89,Colonial,3.0,4.0,1.0,1.0,Virginia
5750.0,House,2.0,566.56,238.2,Colonial,4.0,4.0,1.0,1.0,South Carolina
2750.0,Other,0.0,930.78,133.04,Other,2.0,1.0,1.0,1.0,Ohio
22000.0,House,3.0,1578.28,320.33,Tudor,6.0,6.0,1.0,1.0,Ohio
1100.0,Apartment,2.0,564.54,84.54,Other,2.0,2.0,1.0,0.0,Texas
4500.0,Other,5.0,5625.14,1783.74,Other,3.0,2.0,1.0,0.0,Texas
895.0,Apartment,0.0,668.44,102.19,Other,2.0,2.0,1.0,0.0,Arkansas
625.0,Apartment,0.0,668.44,66.43,Other,2.0,1.0,1.0,0.0,Pennsylvania
2100.0,Other,0.0,668.44,171.87,Other,3.0,3.0,1.0,0.0,Georgia
2995.0,Other,0.0,121.41,253.07,New Traditional,4.0,3.0,1.0,0.0,Other
4800.0,Apartment,0.0,740.17,142.14,New Traditional,2.0,2.0,1.0,0.0,Arizona
4600.0,Apartment,0.0,668.44,125.6,Other,2.0,2.0,1.0,0.0,Florida
2750.0,House,2.0,3254.48,126.35,New Traditional,3.0,2.0,1.0,0.0,Georgia
2895.0,House,2.0,1157.4,190.45,New Traditional,4.0,3.0,1.0,0.0,Other
1300.0,House,0.0,2144.84,41.81,Ranch,1.0,1.0,1.0,0.0,Georgia
2400.0,Other,0.0,668.44,175.96,Other,3.0,3.0,1.0,0.0,Georgia
1950.0,House,2.0,283.28,118.36,New Traditional,3.0,3.0,1.0,0.0,Georgia
900.0,Townhouse,2.0,883.02,341.14,Other,1.0,1.0,1.0,0.0,Georgia
2350.0,House,2.0,637.79,176.52,New Traditional,3.0,3.0,1.0,0.0,Georgia
1895.0,Other,2.0,40.47,120.77,Other,3.0,3.0,1.0,0.0,Georgia
2650.0,Other,1.0,668.44,174.38,Other,3.0,3.0,1.0,0.0,Georgia
1300.0,House,0.0,687.97,44.13,New Traditional,1.0,1.0,1.0,0.0,Georgia
1650.0,Other,2.0,637.79,112.51,Other,2.0,2.0,1.0,0.0,Other
1775.0,Apartment,2.0,426.13,122.91,Other,2.0,2.0,1.0,0.0,Other
2495.0,Other,0.0,404.69,174.47,New Traditional,3.0,4.0,1.0,0.0,North Carolina
2150.0,House,2.0,607.03,184.88,New Traditional,4.0,3.0,1.0,0.0,Georgia
2400.0,Other,0.0,668.44,172.34,New Traditional,3.0,3.0,1.0,0.0,Georgia
1900.0,Apartment,1.0,69.61,69.68,Contemporary,1.0,1.0,1.0,0.0,Georgia
